148
./saves/copytask/RNN/HS_128_NL_modrelu_lr_0.0002_BS_10_rinit_henaff_iinit_xavier_decay_0_alpha_0.99/400/
Copy task
RNN
Cuda: False
modrelu
128
Update 64, Time for Update: 0.14793133735656738 , Average Loss: 0.1446216106414795, Accuracy: 0.28
Update 65, Time for Update: 0.15319609642028809 , Average Loss: 0.2089635580778122, Accuracy: 0.0
Update 66, Time for Update: 0.25244140625 , Average Loss: 0.1555531620979309, Accuracy: 0.17
Update 67, Time for Update: 0.2717900276184082 , Average Loss: 0.17324772477149963, Accuracy: 0.0
Update 68, Time for Update: 0.30426692962646484 , Average Loss: 0.1614118367433548, Accuracy: 0.15
Update 69, Time for Update: 0.394320011138916 , Average Loss: 0.17121514678001404, Accuracy: 0.0
Update 70, Time for Update: 0.24852514266967773 , Average Loss: 0.13653185963630676, Accuracy: 0.17
Update 71, Time for Update: 0.3394348621368408 , Average Loss: 0.1552806794643402, Accuracy: 0.01
Update 72, Time for Update: 0.5301330089569092 , Average Loss: 0.13110780715942383, Accuracy: 0.24
Update 73, Time for Update: 0.1983487606048584 , Average Loss: 0.14593085646629333, Accuracy: 0.0
Update 74, Time for Update: 0.23430490493774414 , Average Loss: 0.14524464309215546, Accuracy: 0.18
Update 75, Time for Update: 0.5680961608886719 , Average Loss: 0.18636766076087952, Accuracy: 0.0
Update 76, Time for Update: 0.41260576248168945 , Average Loss: 0.14990977942943573, Accuracy: 0.33
Update 77, Time for Update: 0.1797335147857666 , Average Loss: 0.1688164919614792, Accuracy: 0.0
Update 78, Time for Update: 0.15398693084716797 , Average Loss: 0.13481584191322327, Accuracy: 0.22
Update 79, Time for Update: 0.16950345039367676 , Average Loss: 0.13938680291175842, Accuracy: 0.03
Update 80, Time for Update: 0.1523745059967041 , Average Loss: 0.12400764226913452, Accuracy: 0.28
Update 81, Time for Update: 0.44733333587646484 , Average Loss: 0.1380651444196701, Accuracy: 0.02
